Account ID,Account Name,Instance ID,Instance name,Instance type,OS,Region,user: Tag1,user: Environment,aws:createdBy,Total running hours,RI Hours,On-Demand hours,Savings Plans hours, CPU Utilization ,Memory Utilization,Disk Utilization,EBS Read Throughput (Ops/s),EBS Write Throughput (Ops/s),EBS Read Bandwidth (KiB/s),EBS Write Bandwidth (KiB/s),Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
8.36E+11,WA Cost Labs,i-022630,name 347,r4.4xlarge,SUSE Linux,EU (Ireland),TagValue 347,DEV,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,10.45,,,0,7.953333333,0,,Modify,r4.2xlarge,$1.29 ,20.9,,,r4.xlarge,$1.93 ,41.79,,,,,,,
8.36E+11,WA Cost Labs,i-022667,name 348,r5.2xlarge,Windows (Amazon VPC),EU (Ireland),TagValue 348,DEV,AssumedRole:AROA3JCGXXXXXXXX,37,0,37,0,33,,,0,7.353333333,0,,Modify,r5.xlarge,$37.46 ,66,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022702,name 349,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 349,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.118611,0,0.118611,0,6.1,,,0,5.716666667,0,,Modify,c4.2xlarge,$0.12 ,12.21,,,c4.xlarge,$0.17 ,24.42,,,c4.large,$0.20 ,48.83,,
8.36E+11,WA Cost Labs,i-022707,name 350,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 350,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,35,,,0,0.993333333,0,,Modify,t3.micro,$8.60 ,35,,,t3.nano,$12.91 ,35,,,,,,,
8.36E+11,WA Cost Labs,i-022727,name 351,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 351,DEV,IAMUser:AIDAJJB63XXXXXXXX,1.414722,0,1.414722,0,21.67,,,0.18,7.793333333,3.738404948,,Modify,c4.2xlarge,$1.39 ,43.33,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022789,name 352,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 352,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.523889,0,0.523889,0,26.27,,,0,1.18,0,,Modify,c4.large,$0.11 ,52.54,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022819,name 353,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 353,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.113333,0,0.113333,0,6.18,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.11 ,12.35,,,c4.xlarge,$0.17 ,24.71,,,c4.large,$0.20 ,49.42,,
8.36E+11,WA Cost Labs,i-022825,name 354,r5.4xlarge,Linux/UNIX,US East (Ohio),TagValue 354,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,204,126,0,17,,,0.66,10.00333333,17.06441406,,Modify,r5.2xlarge,$137.97 ,34,,,r5.xlarge,$206.96 ,68,,,,,,,
8.36E+11,WA Cost Labs,i-022833,name 355,c5.2xlarge,Windows (Amazon VPC),EU (Frankfurt),TagValue 355,DEV,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,33,,,0,0.993333333,0,,Modify,c5.xlarge,$0.82 ,66,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022865,name 356,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 356,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.280278,0,0.280278,0,0.82,,,0,0.993333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022953,name 357,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 357,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.280278,0,0.280278,0,0.85,,,0,1.19,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-022968,name 358,t3.micro,Linux/UNIX,US East (N. Virginia),TagValue 358,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0, -   ,,,0,6.16,0,,Terminate,, $-   ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023002,name 359,t2.medium,Linux/UNIX,US East (N. Virginia),TagValue 359,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,10.51,,,0.013333333,6.32,0.190734863,,Modify,t2.small,$16.73 ,21.02,,,t2.micro,$24.87 ,21.02,,,t2.nano,$29.02 ,21.02,,
8.36E+11,WA Cost Labs,i-023009,name 360,m5.large,Linux/UNIX,US East (N. Virginia),TagValue 360,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,274,56,0, -   ,,,0,7.693333333,0,,Terminate,,$11.68 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-02321,name 361,t2.micro,Red Hat Enterprise Linux,US West (Oregon),TagValue 361,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,0.83,,,0,6.313333333,0,,Terminate,,$51.18 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023244,name 362,t2.medium,Windows (Amazon VPC),US East (Ohio),TagValue 362,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,37.17,,,0,7.953333333,0,,Modify,t2.small,$23.23 ,74.33,,,t2.micro,$34.56 ,74.33,,,t2.nano,$40.37 ,74.33,,
8.36E+11,WA Cost Labs,i-023251,name 363,t2.medium,Linux/UNIX,EU (Ireland),TagValue 363,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,8,,,0,7.353333333,0,,Modify,t2.small,$17.92 ,16,,,t2.micro,$26.81 ,16,,,t2.nano,$31.33 ,16,,
8.36E+11,WA Cost Labs,i-023252,name 364,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 364,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.280278,0,0.280278,0,0.82,,,0,5.716666667,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-02326,name 365,m4.xlarge,Linux/UNIX,EU (Ireland),TagValue 365,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,23.26,,,0,0.993333333,0,,Modify,m4.large, $-   ,46.53,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023261,name 366,t2.small,Linux/UNIX,EU (Ireland),TagValue 366,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,26.33,,,0.18,7.793333333,3.738404948,,Modify,t2.micro,$8.89 ,26.33,,,t2.nano,$13.41 ,26.33,,,,,,,
8.36E+11,WA Cost Labs,i-023320,name 367,t3.large,Linux/UNIX,US East (N. Virginia),TagValue 367,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,3,,,0,1.18,0,,Modify,t3.medium,$29.83 ,3,,,t3.small,$44.74 ,3,,,t3.nano,$55.92 ,3,,
8.36E+11,WA Cost Labs,i-023367,name 368,r4.2xlarge,Linux/UNIX,EU (Ireland),TagValue 368,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,13.59,,,0,0.993333333,0,,Modify,r4.xlarge, $-   ,27.17,,,r4.large, $-   ,54.34,,,,,,,
8.36E+11,WA Cost Labs,i-023405,name 369,r5.2xlarge,Linux/UNIX,EU (Ireland),TagValue 369,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,20,,,0.66,10.00333333,17.06441406,,Modify,r5.xlarge, $-   ,40,,,r5.large, $-   ,80,,,,,,,
8.36E+11,WA Cost Labs,i-023411,name 370,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 370,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.28,0,0.28,0,1,,,0,0.993333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023452,name 371,m5.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 371,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,7,,,0,0.993333333,0,,Modify,m5.xlarge,$164.40 ,14,,,m5.large,$246.60 ,28,,,,,,,
8.36E+11,WA Cost Labs,i-023512,name 372,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 372,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.273889,0,0.273889,0,20.52,,,0,1.19,0,,Modify,c4.2xlarge,$0.27 ,41.04,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023518,name 373,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 373,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.056667,0,0.056667,0,3.65,,,0,6.16,0,,Modify,c4.2xlarge,$0.06 ,7.29,,,c4.xlarge,$0.08 ,14.58,,,c4.large,$0.10 ,29.17,,
8.36E+11,WA Cost Labs,i-023637,name 374,c4.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 374,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.584167,0,0.584167,0,10.35,,,0.013333333,6.32,0.190734863,,Modify,c4.xlarge,$0.29 ,20.71,,,c4.large,$0.43 ,41.42,,,,,,,
8.36E+11,WA Cost Labs,i-023644,name 375,t3.small,Linux/UNIX,EU (London),TagValue 375,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,6,,,0,7.693333333,0,,Modify,t3.micro,$8.46 ,6,,,t3.nano,$12.69 ,6,,,,,,,
8.36E+11,WA Cost Labs,i-023672,name 376,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 376,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.279722,0,0.279722,0,0.85,,,0,6.313333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023699,name 377,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 377,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.247778,0,0.247778,0,5.99,,,0,7.953333333,0,,Modify,c4.2xlarge,$0.24 ,11.98,,,c4.xlarge,$0.37 ,23.96,,,c4.large,$0.43 ,47.92,,
8.36E+11,WA Cost Labs,i-023750,name 378,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 378,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.518889,0,0.518889,0,23.33,,,0,7.353333333,0,,Modify,c4.large,$0.11 ,46.67,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023771,name 379,r4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 379,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.521389,0,0.521389,0,7,,,0,5.716666667,0,,Modify,r4.2xlarge,$0.67 ,14,,,r4.large,$1.18 ,56.02,,,r4.xlarge,$1.01 ,28.01,,
8.36E+11,WA Cost Labs,i-023801,name 380,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 380,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.103889,0,0.103889,0,3.06,,,0,0.993333333,0,,Modify,c4.2xlarge,$0.10 ,6.13,,,c4.xlarge,$0.15 ,12.25,,,c4.large,$0.18 ,24.5,,
8.36E+11,WA Cost Labs,i-023932,name 381,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 381,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.280278,0,0.280278,0,0.98,,,0.18,7.793333333,3.738404948,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023987,name 382,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 382,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.28,0,0.28,0,0.83,,,0,1.18,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-023992,name 383,t3.micro,Linux/UNIX,US East (N. Virginia),TagValue 383,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,1,,,0,0.993333333,0,,Modify,t3.nano, $-   ,1,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024020,name 384,t2.medium,Linux/UNIX,Asia Pacific (Sydney),TagValue 384,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,0.25,,,0.66,10.00333333,17.06441406,,Terminate,,$41.87 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-02404,name 385,t3.medium,Linux/UNIX,EU (Frankfurt),TagValue 385,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,17,,,0,0.993333333,0,,Modify,t3.small, $-   ,17,,,t3.nano, $-   ,17,,,t3.micro, $-   ,17,,
8.36E+11,WA Cost Labs,i-024045,name 386,t3.small,Linux/UNIX,Asia Pacific (Sydney),TagValue 386,DEV,AssumedRole:AROA3JCGXXXXXXXX,329,0,329,0,24,,,0,0.993333333,0,,Modify,t3.micro,$9.44 ,24,,,t3.nano,$14.15 ,24,,,,,,,
8.36E+11,WA Cost Labs,i-024077,name 387,t3.medium,Linux/UNIX,EU (Frankfurt),TagValue 387,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,37,,,0,1.19,0,,Modify,t3.small,$17.21 ,37,,,t3.nano,$30.11 ,37,,,t3.micro,$25.81 ,37,,
8.36E+11,WA Cost Labs,i-02433,name 388,t3.medium,Linux/UNIX,US East (N. Virginia),TagValue 388,DEV,AssumedRole:AROA3JCGXXXXXXXX,151,151,0,0,32,,,0,6.16,0,,Modify,t3.small, $-   ,32,,,t3.micro, $-   ,32,,,t3.nano, $-   ,32,,
8.36E+11,WA Cost Labs,i-024387,name 389,t3.small,Linux/UNIX,US East (Ohio),TagValue 389,DEV,IAMUser:AIDAJJB63XXXXXXXX,1.763333,0,1.763333,0,18,,,0.013333333,6.32,0.190734863,,Modify,t3.micro,$0.04 ,18,,,t3.nano,$0.06 ,18,,,,,,,
8.36E+11,WA Cost Labs,i-024448,name 390,c4.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 390,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.575,0,0.575,0,8.4,,,0,7.693333333,0,,Modify,c4.xlarge,$0.28 ,16.79,,,c4.large,$0.42 ,33.58,,,,,,,
8.36E+11,WA Cost Labs,i-024449,name 391,c5.2xlarge,Red Hat Enterprise Linux,EU (Ireland),TagValue 391,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,1,329,0,10,,,0,6.313333333,0,,Modify,c5.xlarge,$186.73 ,20,,,c5.large,$255.56 ,40,,,,,,,
8.36E+11,WA Cost Labs,i-024455,name 392,r4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 392,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,31.88,,,0,7.953333333,0,,Modify,r4.2xlarge, $-   ,63.75,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024488,name 393,r4.xlarge,Red Hat Enterprise Linux,EU (Frankfurt),TagValue 393,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,1.58,,,0,7.353333333,0,,Modify,r4.large,$164.94 ,3.17,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024525,name 394,c4.xlarge,Linux/UNIX,EU (London),TagValue 394,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.128333,0,0.128333,0,23,,,0,5.716666667,0,,Modify,c4.large,$0.03 ,46,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024541,name 395,t2.medium,Linux/UNIX,EU (Frankfurt),TagValue 395,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,35.67,,,0,0.993333333,0,,Modify,t2.small, $-   ,71.33,,,t2.nano, $-   ,71.33,,,t2.micro, $-   ,71.33,,
8.36E+11,WA Cost Labs,i-024562,name 396,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 396,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.525,0,0.525,0,25.25,,,0.18,7.793333333,3.738404948,,Modify,c4.large,$0.11 ,50.5,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024595,name 397,t3.small,Linux/UNIX,Asia Pacific (Sydney),TagValue 397,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,4,,,0,1.18,0,,Modify,t3.micro,$9.44 ,4,,,t3.nano,$14.15 ,4,,,,,,,
8.36E+11,WA Cost Labs,i-024720,name 398,t2.small,Linux/UNIX,US East (N. Virginia),TagValue 398,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,22.24,,,0,0.993333333,0,,Modify,t2.micro,$8.17 ,22.24,,,t2.nano,$12.33 ,22.24,,,,,,,
8.36E+11,WA Cost Labs,i-024775,name 399,t2.micro,Linux/UNIX,US East (N. Virginia),TagValue 399,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,16.17,,,0.66,10.00333333,17.06441406,,Modify,t2.nano,$4.16 ,16.17,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024916,name 400,r3.xlarge,Windows (Amazon VPC),US East (N. Virginia),TagValue 400,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,8.29,,,0,0.993333333,0,,Modify,r3.large,$209.35 ,16.58,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-024925,name 401,t2.medium,Linux/UNIX,EU (Frankfurt),TagValue 401,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,7,,,0,0.993333333,0,,Modify,t2.small,$19.16 ,14,,,t2.micro,$28.73 ,14,,,t2.nano,$33.52 ,14,,
8.36E+11,WA Cost Labs,i-024951,name 402,t3.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 402,DEV,AssumedRole:AROA3JCGXXXXXXXX,11,0,11,0,26,,,0,1.19,0,,Modify,t3.large,$1.99 ,52,,,t3.medium,$2.98 ,52,,,t3.nano,$3.85 ,52,,
8.36E+11,WA Cost Labs,i-024972,name 403,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 403,DEV,IAMUser:AIDAJJB63XXXXXXXX,123.281389,0,123.281389,0,0.67,,,0,6.16,0,,Terminate,,$3.59 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025013,name 404,t3.medium,Linux/UNIX,EU (Frankfurt),TagValue 404,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,7,,,0.013333333,6.32,0.190734863,,Modify,t3.small,$17.21 ,7,,,t3.nano,$30.11 ,7,,,t3.micro,$25.81 ,7,,
8.36E+11,WA Cost Labs,i-025058,name 405,m5.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 405,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,2,,,0,7.693333333,0,,Modify,m5.large,$68.83 ,4,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025113,name 406,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 406,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.672778,0,0.672778,0,17.63,,,0,6.313333333,0,,Modify,c4.large,$0.14 ,35.25,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025132,name 407,t2.2xlarge,Linux/UNIX,EU (Ireland),TagValue 407,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.751667,0.15625,0.595417,0,3.96,,,0,7.953333333,0,,Modify,t2.xlarge,$0.26 ,7.92,,,t2.small,$0.49 ,31.67,,,t2.large,$0.39 ,15.83,,
8.36E+11,WA Cost Labs,i-025135,name 408,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 408,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.299722,0,0.299722,0,15.5,,,0,7.353333333,0,,Modify,c4.2xlarge,$0.29 ,31,,,c4.xlarge,$0.44 ,62,,,,,,,
8.36E+11,WA Cost Labs,i-025179,name 409,c5.xlarge,Red Hat Enterprise Linux,Asia Pacific (Singapore),TagValue 409,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,3,,,0,5.716666667,0,,Modify,c5.large,$70.26 ,6,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025207,name 410,c4.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 410,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.526667,0,0.526667,0,22.21,,,0,0.993333333,0,,Modify,c4.large,$0.11 ,44.42,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025249,name 411,r5.xlarge,Linux/UNIX,EU (Frankfurt),TagValue 411,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,1,329,0,14,,,0.18,7.793333333,3.738404948,,Modify,r5.large,$108.65 ,28,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025257,name 412,m5.xlarge,Linux/UNIX,US East (N. Virginia),TagValue 412,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,4,,,0,1.18,0,,Modify,m5.large,$68.83 ,8,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025308,name 413,m5.xlarge,Linux/UNIX,EU (Frankfurt),TagValue 413,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,21,,,0,0.993333333,0,,Modify,m5.large,$82.45 ,42,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-02537,name 414,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 414,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.128611,0,0.128611,0,6.19,,,0.66,10.00333333,17.06441406,,Modify,c4.2xlarge,$0.13 ,12.38,,,c4.large,$0.22 ,49.5,,,c4.xlarge,$0.19 ,24.75,,
8.36E+11,WA Cost Labs,i-025426,name 415,r3.2xlarge,Windows (Amazon VPC),EU (Ireland),TagValue 415,DEV,IAMUser:AIDAJJB63XXXXXXXX,155,9.993611,145.006389,0,32.48,,,0,0.993333333,0,,Modify,r3.xlarge,$144.59 ,64.96,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025472,name 416,r4.2xlarge,Linux/UNIX,EU (Frankfurt),TagValue 416,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,19.54,,,0,0.993333333,0,,Modify,r4.xlarge, $-   ,39.08,,,r4.large, $-   ,78.17,,,,,,,
8.36E+11,WA Cost Labs,i-025480,name 417,m5.xlarge,Linux/UNIX,Asia Pacific (Sydney),TagValue 417,DEV,IAMUser:AIDAJJB63XXXXXXXX,329,0,329,0,11,,,0,1.19,0,,Modify,m5.large,$85.78 ,22,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025506,name 418,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 418,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,8.67,,,0,6.16,0,,Modify,t2.nano,$4.80 ,8.67,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025515,name 419,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 419,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.281389,0,0.281389,0,1,,,0.013333333,6.32,0.190734863,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025555,name 420,r5.4xlarge,Linux/UNIX,EU (Ireland),TagValue 420,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,16,,,0,7.693333333,0,,Modify,r5.2xlarge, $-   ,32,,,r5.xlarge, $-   ,64,,,,,,,
8.36E+11,WA Cost Labs,i-025579,name 421,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 421,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.048889,0,0.048889,0,2.84,,,0,6.313333333,0,,Modify,c4.2xlarge,$0.05 ,5.69,,,c4.xlarge,$0.07 ,11.38,,,c4.large,$0.08 ,22.75,,
8.36E+11,WA Cost Labs,i-025604,name 422,t3.micro,Linux/UNIX,US East (N. Virginia),TagValue 422,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0, -   ,,,0,7.953333333,0,,Terminate,, $-   ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025711,name 423,t3.small,Linux/UNIX,EU (Frankfurt),TagValue 423,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,0,330,0,3,,,0,7.353333333,0,,Modify,t3.micro,$8.60 ,3,,,t3.nano,$12.91 ,3,,,,,,,
8.36E+11,WA Cost Labs,i-025739,name 424,t2.medium,Linux/UNIX,Asia Pacific (Sydney),TagValue 424,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,0,330,0,11.08,,,0,5.716666667,0,,Modify,t2.small,$20.94 ,22.17,,,t2.micro,$31.40 ,22.17,,,t2.nano,$36.64 ,22.17,,
8.36E+11,WA Cost Labs,i-025818,name 425,t3.micro,Linux/UNIX,EU (Frankfurt),TagValue 425,DEV,IAMUser:AIDAJJB63XXXXXXXX,1,0,1,0,37,,,0,0.993333333,0,,Modify,t3.nano,$0.01 ,37,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025825,name 426,c4.4xlarge,Linux/UNIX,EU (Ireland),TagValue 426,DEV,AssumedRole:AROA3JCGXXXXXXXX,0.061389,0,0.061389,0,3.57,,,0.18,7.793333333,3.738404948,,Modify,c4.2xlarge,$0.06 ,7.15,,,c4.xlarge,$0.09 ,14.29,,,c4.large,$0.11 ,28.58,,
8.36E+11,WA Cost Labs,i-025863,name 427,t2.micro,Linux/UNIX,EU (Frankfurt),TagValue 427,DEV,IAMUser:AIDAJJB63XXXXXXXX,271,0,271,0,9.67,,,0,1.18,0,,Modify,t2.nano,$3.94 ,9.67,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-025873,name 428,r5.2xlarge,Linux/UNIX,EU (Ireland),TagValue 428,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,330,0,0,17,,,0,0.993333333,0,,Modify,r5.xlarge, $-   ,34,,,r5.large, $-   ,68,,,,,,,
8.36E+11,WA Cost Labs,i-02595,name 429,t2.small,Linux/UNIX,EU (Frankfurt),TagValue 429,DEV,IAMUser:AIDAJJB63XXXXXXXX,1.545278,0,1.545278,0,27.17,,,0.66,10.00333333,17.06441406,,Modify,t2.micro,$0.04 ,27.17,,,t2.nano,$0.07 ,27.17,,,,,,,
8.36E+11,WA Cost Labs,i-025967,name 430,t3.small,Linux/UNIX,US East (Ohio),TagValue 430,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,185.1604165,144.8395835,0,19,,,0,0.993333333,0,,Modify,t3.micro,$3.27 ,19,,,t3.nano,$4.91 ,19,,,,,,,
8.36E+11,WA Cost Labs,i-026030,name 431,t1.micro,Linux/UNIX,US East (N. Virginia),TagValue 431,DEV,IAMUser:AIDAJJB63XXXXXXXX,0.280278,0,0.280278,0,0.83,,,0,0.993333333,0,,Terminate,,$0.01 ,,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-026063,name 432,t3.medium,Linux/UNIX,Asia Pacific (Sydney),TagValue 432,DEV,AssumedRole:AROA3JCGXXXXXXXX,330,328.501111,1.498889,0,36,,,0,1.19,0,,Modify,t3.small,$0.09 ,36,,,t3.nano,($0.76),36,,,t3.micro,$0.13 ,36,,
8.36E+11,WA Cost Labs,i-026078,name 433,c4.8xlarge,Linux/UNIX,US East (N. Virginia),TagValue 433,DEV,IAMUser:AIDAJJB63XXXXXXXX,330,330,0,0,35,,,0,6.16,0,,Modify,c4.4xlarge, $-   ,78.74,,,,,,,,,,,,
8.36E+11,WA Cost Labs,i-026086,name 434,r4.2xlarge,SUSE Linux,EU (Frankfurt),TagValue 434,DEV,AssumedRole:AROA3JCGXXXXXXXX,1,0,1,0,15.71,,,0.013333333,6.32,0.190734863,,Modify,r4.xlarge,$0.70 ,31.42,,,r4.large,$1.04 ,62.83,,,,,,,
